"";"variable";"t-test";"permutation"
"1";"X11_Open_water";0,752557772472438;0,759933875864455
"2";"X21_Developed_open_space";0,00525251425462018;0,00426614005106642
"3";"X22_Developed_low_intensity";0,0362088404049273;0,0334012375059262
"4";"X23_Developed_medium_intensity";0,0873843395966317;0,0774091239110903
"5";"X24_Developed_high_intensity";0,0586802413791569;0,046988252535496
"6";"X31_Barren_land_rock_sand_clay";0,612500517168019;0,61856917726071
"7";"X41_Deciduous_forest";0,000152434864021076;0,000247698265404495
"8";"X42_Evergreen_forest";0,289316064184741;0,277541817641824
"9";"X43_Mixed_forest";0,0329895177015299;0,0485531735219218
"10";"X52_Shrub_scrub";0,718795114675477;0,723732996918801
"11";"X71_Grassland_herbaceous";0,723240328965713;0,725891656358291
"12";"X81_Pasture_hay";0,127838244375659;0,114385380813146
"13";"X82_Cultivated_crops";0,0544712400983833;0,047292878321497
"14";"X90_Woody_wetlands";0,048288132401616;0,0461777958951562
"15";"X95_Emergent_herbaceous_wetlands";0,502609770663393;0,494219578336944
"16";"X0_0";0,951011397760589;0,952514901340584
"17";"X12_Perennial_ice_snow";0,0267398979558477;0,0513718219966917
"18";"pop_year";0,00641282256874117;0,00378135872415205
"19";"nb_feux_voisins";0,00000000000000000000000000000000000000000216274453957353;0,000000000000000000000000000000000000000000000000000000000295902118849376
"20";"nb_feux_voisins_lag";0,00000000000000000000000000338590971030521;0,00000000000000000000000000000000000113968553876406
"21";"av_temp_hi";0,0000000000464295796781044;0,000000000535056704369584
"22";"av_temp_lo";0,00278760113307925;0,00466507648614124
"23";"av_temp_mean";0,00000044635496398109;0,00000184004527708927
"24";"av_precip";0,00000000000525659070646194;0,000000000118792087278052
"25";"av_wind_speed";0,0000252221395852459;0,0000375547168852843
"26";"av_cloud_cover";0,000000000000000380105941251945;0,00000000000000177635683940025
"27";"av_humidity";0,000000000000000000000000000121524368518759;0
