,variable,t-test,permutation
27,av_humidity,0.00000000,0.00000000
19,nb_feux_voisins,0.00000000,0.00000000
20,nb_feux_voisins_lag,0.00000000,0.00000000
26,av_cloud_cover,0.00000000,0.00000000
24,av_precip,0.00000000,0.00000000
21,av_temp_hi,0.00000000,0.00000000
23,av_temp_mean,0.00000045,0.00000184
25,av_wind_speed,0.00002522,0.00003755
7,X41_Deciduous_forest,0.00015243,0.00024770
18,pop_year,0.00641282,0.00378136
2,X21_Developed_open_space,0.00525251,0.00426614
22,av_temp_lo,0.00278760,0.00466508
3,X22_Developed_low_intensity,0.03620884,0.03340124
14,X90_Woody_wetlands,0.04828813,0.04617780
5,X24_Developed_high_intensity,0.05868024,0.04698825
13,X82_Cultivated_crops,0.05447124,0.04729288
9,X43_Mixed_forest,0.03298952,0.04855317
17,X12_Perennial_ice_snow,0.02673990,0.05137182
4,X23_Developed_medium_intensity,0.08738434,0.07740912
12,X81_Pasture_hay,0.12783824,0.11438538
8,X42_Evergreen_forest,0.28931606,0.27754182
15,X95_Emergent_herbaceous_wetlands,0.50260977,0.49421958
6,X31_Barren_land_rock_sand_clay,0.61250052,0.61856918
10,X52_Shrub_scrub,0.71879511,0.72373300
11,X71_Grassland_herbaceous,0.72324033,0.72589166
1,X11_Open_water,0.75255777,0.75993388
16,X0_0,0.95101140,0.95251490
